region	population	year	month	count_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
Эстонская ССР	1126413	1940	9	12	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.5	0.6	0.6	0.7	0.7	0.8	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	10	5	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.4	0.4	0.4	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	11	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	12	2	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	1	6	0.0	0.0	0.0	0.0	0.0	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.6667	0.8333	0.8333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	2	10	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.5	0.6	0.7	0.7	0.7	0.7	0.7	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	3	8	0.0	0.0	0.0	0.0	0.0	0.375	0.5	0.625	0.625	0.625	0.625	0.75	0.75	0.75	0.75	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	4	7	0.0	0.0	0.0	0.0	0.1429	0.4286	0.5714	0.5714	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.8571	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	5	20	0.0	0.0	0.0	0.0	0.0	0.05	0.15	0.3	0.4	0.4	0.4	0.45	0.5	0.65	0.7	0.85	0.85	0.9	0.9	0.9	0.9	0.9	0.95	0.95	0.95	0.95	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	6	202	0.0	0.0051	0.0203	0.0406	0.0508	0.1269	0.2132	0.264	0.2843	0.3299	0.3604	0.4264	0.4569	0.5127	0.5736	0.6142	0.6599	0.7208	0.797	0.8782	0.9492	0.9594	0.9695	0.9797	0.9949	0.9949	0.9949	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	7	803	0.0	0.0013	0.0025	0.0101	0.024	0.153	0.2491	0.3325	0.3565	0.3944	0.4286	0.4829	0.5322	0.5904	0.6435	0.6903	0.7509	0.8066	0.8647	0.9191	0.9659	0.9709	0.9785	0.9861	0.9874	0.9899	0.9975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	8	191	0.0	0.0	0.0	0.0116	0.0233	0.0698	0.1221	0.157	0.1744	0.1919	0.2616	0.3023	0.3314	0.3837	0.4128	0.4651	0.5116	0.593	0.6512	0.7151	0.7616	0.7965	0.8488	0.907	0.9477	0.9709	0.9826	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	9	21	0.0	0.0	0.0	0.0526	0.1053	0.2632	0.3158	0.3158	0.3158	0.3158	0.3684	0.4211	0.5263	0.5263	0.5263	0.5263	0.5263	0.6316	0.6316	0.6316	0.6842	0.6842	0.7368	0.8947	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	10	21	0.0	0.0526	0.1053	0.2105	0.3158	0.3684	0.4211	0.4211	0.4211	0.4211	0.4211	0.4211	0.4211	0.5263	0.5263	0.6316	0.6842	0.6842	0.7895	0.7895	0.8421	0.8947	0.9474	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	11	22	0.0	0.0	0.05	0.05	0.25	0.3	0.45	0.5	0.5	0.5	0.5	0.55	0.55	0.6	0.7	0.7	0.75	0.95	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	12	9	0.0	0.0	0.1111	0.2222	0.2222	0.4444	0.5556	0.5556	0.5556	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.7778	0.7778	0.7778	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	1	19	0.0	0.0	0.0	0.0	0.0	0.0588	0.2941	0.2941	0.3529	0.4118	0.4118	0.4118	0.4118	0.5294	0.5294	0.5882	0.5882	0.7059	0.7647	0.7647	0.8824	0.8824	0.9412	0.9412	0.9412	0.9412	0.9412	0.9412	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	2	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0417	0.1667	0.1667	0.3333	0.3333	0.4167	0.5417	0.5833	0.6667	0.7917	0.7917	0.7917	0.7917	0.9167	0.9167	0.9167	0.9167	0.9583	0.9583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	3	11	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.3	0.3	0.4	0.4	0.6	0.7	0.7	0.8	0.8	0.9	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	4	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.6	0.6	0.6	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	5	4	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
